index,study_id,id,author,year,group,group_id,group_desc,url,country,region,city,time_MAX,time_50,time_MIN,detailed_time,exp_dur,fu_dur,age_base,age_category,age_SD,days_ps,days_cat,yrs_ps,stroke_type,terminal_dropout,outcome_name,outcome_extremity,ue_subscale,le_subscale,outcomenamecat,SCOAR_outcome,p_outcome_stated,itt_analysis,base_n,base_m,base_sd,difference_score,term_n,term_m,term_sd,diff_base,diff_term,fu_n,fu_m,fu_sd,est_corr,term_diff,term_s_diff,fu_diff,fu_s_diff,term_d,fu_d,j_corr_factor,term_g,aaa,fu_g,term_Vd,fu_Vd,term_Vg,SE,termvginv,fu_Vg,chck2,notes
1.00,1.00,abdullah2011,abdullah,2011.00,ctrl,1.00,conventional physiotherapy,http://www.jneuroengrehab.com/content/8/1/50,canada,ontario,guelph,0.00,0.00,0.00,,,,70.40,75th Percentile,,30.10,<90days,0.082465753,0.00,0.00,Chedoke Arm Hand,ue,,,other,lohse,1.00,0.00,11.00,2.27,,,11.00,2.60,,,,,,,0.50,0.33,,,,,,0.92,0.00,0.00,0.00,,,,0.00,,,,
2.00,1.00,abdullah2011,abdullah,2011.00,exp,2.00,robot assisted therapy,http://www.jneuroengrehab.com/content/8/1/50,canada,ontario,guelph,0.00,0.00,0.00,,,,75.70,Remaining,,30.10,<90days,0.082465753,0.00,1.00,Chedoke Arm Hand,ue,,,other,lohse,1.00,0.00,9.00,2.53,,,8.00,2.96,,,,,,,0.50,0.43,,,,,,0.90,0.00,0.00,0.00,,,,0.00,,,,
3.00,2.00,ada2003,ada,2003.00,ctrl,3.00,low intensity home exercise,http://www.ncbi.nlm.nih.gov/pubmed/14586916,australia,new south wales,sydney,0.00,0.00,0.00,,28.00,49.00,66.00,75th Percentile,11.00,780.00,>1year,2.136986301,0.00,0.00,10mwt SSV,le,,speed,speed,lohse,0.00,0.00,14.00,0.53,0.30,,14.00,0.56,0.30,0.00,0.00,13.00,0.64,0.29,0.50,0.03,0.30,0.11,0.30,0.10,0.37,0.94,0.09,0.31,0.35,0.07,0.08,0.06,0.25,15.73,0.07,Yes,
4.00,2.00,ada2003,ada,2003.00,exp,4.00,overground and treadmill walking,http://www.ncbi.nlm.nih.gov/pubmed/14586916,australia,new south wales,sydney,6.00,6.00,6.00,1.00,28.00,49.00,66.00,75th Percentile,11.00,840.00,>1year,2.301369863,0.00,1.00,10mwt SSV,le,,speed,speed,lohse,0.00,0.00,13.00,0.62,0.24,,11.00,0.75,0.26,0.00,0.00,13.00,0.83,0.26,0.50,0.13,0.25,0.21,0.25,0.52,0.84,0.94,0.49,0.70,0.79,0.09,0.10,0.08,0.28,13.06,0.09,Yes,
7.00,3.00,ada2013,ada,2013.00,ctrl,5.00,no specified physical therapy,http://www.ncbi.nlm.nih.gov/pubmed/23464674,australia,new south wales,sydney,0.00,0.00,0.00,1.00,120.00,365.00,63.00,50th Percentile,,570.00,>1year,1.561643836,0.00,3.00,6minwt,le,,capacity,capacity,lohse,1.00,1.00,34.00,244.00,263.00,,31.00,263.00,115.00,,,31.00,2552.00,125.00,0.50,19.00,206.23,8.00,208.98,0.09,0.04,0.98,0.09,0.30,0.04,0.03,0.03,0.03,0.17,35.46,0.03,,
8.00,3.00,ada2013,ada,2013.00,exp,6.00,four months of walking training,http://www.ncbi.nlm.nih.gov/pubmed/23464674,australia,new south wales,sydney,24.00,24.00,24.00,1.00,120.00,365.00,70.00,75th Percentile,,660.00,>1year,1.808219178,0.00,0.00,6minwt,le,,capacity,capacity,lohse,1.00,1.00,34.00,232.00,124.00,,34.00,289.00,131.00,,,34.00,250.00,130.00,0.50,57.00,127.55,18.00,127.04,0.45,0.14,0.98,0.44,0.66,0.14,0.03,0.03,0.03,0.18,32.38,0.03,,
9.00,3.00,ada2013,ada,2013.00,exp,7.00,two months of walking therapy,http://www.ncbi.nlm.nih.gov/pubmed/23464674,australia,new south wales,sydney,12.00,12.00,12.00,1.00,60.00,365.00,64.00,75th Percentile,,600.00,>1year,1.643835616,0.00,1.00,6minwt,le,,capacity,capacity,lohse,1.00,1.00,34.00,225.00,118.00,,33.00,259.00,145.00,,,33.00,230.00,122.00,0.50,34.00,131.98,5.00,119.99,0.26,0.04,0.98,0.25,0.50,0.04,0.03,0.03,0.03,0.17,34.47,0.03,,
10.00,4.00,aisen/volpe1997/1999,aisen/volpe,1997/1999,ctrl,8.00,conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/9109746,usa,NY,white plains,0.00,0.00,0.00,,,933.60,63.30,75th Percentile,,23.10,<90days,0.063287671,1.00,0.00,fma,ue,fma,,fma,lohse,0.00,0.00,10.00,13.80,16.64,1.00,10.00,23.90,,1.00,0.00,6.00,,,0.50,10.10,16.64,,16.64,0.61,,0.91,0.55,0.74,0.00,0.12,,0.10,0.31,10.10,,Yes,"Volpe et al 1999 is the follow up to Aisen 1997, however this is only a small subset of patients"
11.00,4.00,aisen/volpe1997/1999,aisen/volpe,1997/1999,exp,9.00,robot assisted therapy + conventional therapy,http://www.ncbi.nlm.nih.gov/pubmed/9109746,usa,NY,white plains,0.00,0.00,0.00,,,1098.50,58.50,50th Percentile,,19.60,<90days,0.05369863,1.00,0.00,fma,ue,fma,,fma,lohse,0.00,0.00,10.00,17.10,15.18,1.00,10.00,31.20,,1.00,0.00,6.00,,,0.50,14.10,15.18,,15.18,0.93,,0.91,0.85,0.92,0.00,0.14,,0.12,0.35,8.36,,Yes,"Volpe et al 1999 is the follow up to Aisen 1997, however this is only a small subset of patients"
12.00,5.00,arya2012,arya,2012.00,ctrl,10.00,standard care,http://www.ncbi.nlm.nih.gov/pubmed/22668675,india,uttar pradesh,lucknow,20.00,20.00,20.00,1.00,28.00,56.00,50.21,25th Percentile,,86.59,<90days,0.237232877,1.00,0.00,fma-ue,ue,fma,,fma,lohse,0.00,1.00,52.00,9.88,8.82,,52.00,16.42,11.16,0.00,0.00,52.00,19.00,12.09,0.50,6.54,10.06,9.12,10.58,0.65,0.86,0.99,0.64,0.80,0.85,0.02,0.03,0.02,0.15,44.22,0.03,Yes,
13.00,5.00,arya2012,arya,2012.00,exp,11.00,"""meaningful"" task specific therapy",http://www.ncbi.nlm.nih.gov/pubmed/22668675,india,uttar pradesh,lucknow,20.00,20.00,20.00,1.00,28.00,56.00,51.67,25th Percentile,,83.44,<90days,0.22860274,1.00,0.00,fma-ue,ue,fma,,fma,lohse,0.00,1.00,51.00,11.98,9.74,,51.00,29.00,14.70,0.00,0.00,51.00,32.02,15.47,0.50,17.02,12.47,20.04,12.93,1.36,1.55,0.98,1.34,1.16,1.53,0.04,0.04,0.04,0.19,27.22,0.04,Yes,
