index,study_id,id,author,year,group,group_id,group_desc,url,country,region,city,time_MAX,time_50,MissingTime50,time_MIN,detailed_time,exp_dur,fu_dur,age_base,age_category,age_SD,days_ps,days_cat,yrs_ps,stroke_type,nihss_base,mmse_base,mMmse_base,fim_base,brunstrom_base,frenchay_base,fac_base,barthel_base,mBarthel_base,motricity_base,BBS_base,BBT_base,gcs_base,MAS_base,sis_base,rivermead_base,ashworth_base,mAshworth_base,rankin_base,bdi_base,cesd_base,ops_base,terminal_dropout,outcome_name,outcome_extremity,ue_subscale,le_subscale,outcomenamecat,SCOAR_outcome,p_outcome_stated,itt_analysis,base_n,base_m,base_sd,difference_score,term_n,term_m,term_sd,diff_base,diff_term,fu_n,fu_m,fu_sd,est_corr,term_diff,term_s_diff,fu_diff,fu_s_diff,term_d,fu_d,j_corr_factor,term_g,MissingTermG,MissingData,fu_g,term_Vd,fu_Vd,term_Vg,termvginv,fu_Vg,chck2,notes
464,132,partridge2000,partridge,2000,ctrl,297,conventional PT,http://www.ncbi.nlm.nih.gov/pubmed/11129665,UK,canterbury,canterbury,15,15,Time 50 OK,15,1,42,180,,Not Available,,0,NA,,0,,,,,,,,,,,,,,,,,,,,,,,4,profiles of recovery,,,,other,lohse,1,0,60,5.1,4.1,,56,9.8,4.6,,,49,10.1,3.3,0.5,4.7,4.348411688,5,3.762219965,1.080854422,1.329002569,0.987234043,1.06705628,Term G OK,All OK,1.312036579,0.026402052,0.031385399,0.02573226,38.86172454,0.030589184,,
465,132,partridge2000,partridge,2000,exp,298,CPT + CPT,http://www.ncbi.nlm.nih.gov/pubmed/11129665,UK,canterbury,canterbury,30,30,Time 50 OK,30,1,42,180,,Not Available,,0,NA,,0,,,,,,,,,,,,,,,,,,,,,,,2,profiles of recovery,,,,other,lohse,1,0,54,4.6,4.1,,52,9.5,4.2,,,44,9,4.2,0.5,4.9,4.149339614,4.4,4.145089967,1.180910809,1.061496864,0.985781991,1.164120608,Term G OK,All OK,1.046404491,0.031431022,0.028951626,0.030543602,32.74008089,0.028134209,,
717,197,winstein2004,winstein,2004,ctrl,447,standard care,http://www.ncbi.nlm.nih.gov/pubmed/15083439,USA,CA,los angeles,20,20,Time 50 OK,20,2,28,270,,Not Available,,15.4,<90days,0.042191781,1,,,,61.35,,,,,,,,,,,,,,,,,,3.645,0,fma-ue,ue,fma,,fma,lohse,1,0,20,23.55,22.31,1,20,32.6,,0,1,15,40.93,,0.5,9.05,22.31,17.38,22.31,0.405647692,0.77902286,0.96,0.389421784,Term G OK,All OK,0.747861945,0.054113751,0.065171915,0.049871233,20.05163979,0.060062437,Yes,
718,197,winstein2004,winstein,2004,exp,448,strength training,http://www.ncbi.nlm.nih.gov/pubmed/15083439,USA,CA,los angeles,40,40,Time 50 OK,40,2,28,270,,Not Available,,17.3,<90days,0.04739726,1,,,,62.5,,,,,,,,,,,,,,,,,,3.645,0,fma-ue,ue,fma,,fma,lohse,1,0,20,19.85,19.56,1,20,38.05,,0,1,16,43.43,9.11,0.5,18.2,19.56,23.58,15.82455268,0.930470348,1.490089513,0.96,0.893251534,Term G OK,All OK,1.430485932,0.071644377,0.105509169,0.066027458,15.14521428,0.09723725,Yes,
719,197,winstein2004,winstein,2004,exp,449,function task,http://www.ncbi.nlm.nih.gov/pubmed/15083439,USA,CA,los angeles,40,40,Time 50 OK,40,2,28,270,,Not Available,,15.5,<90days,0.042465753,1,,,,59.55,,,,,,,,,,,,,,,,,,3.91,0,fma-ue,ue,fma,,fma,lohse,1,0,20,18.7,16.4,1,20,35.2,,0,1,13,40.97,4.49,0.5,16.5,16.4,22.27,13.13964845,1.006097561,1.694870307,0.96,0.965853659,Term G OK,All OK,1.627075495,0.075305808,0.121814634,0.069401832,14.40884154,0.112264367,Yes,
275,82,kim2012,kim,2012,exp,181,therapy games using nintendo wii,https://www.jstage.jst.go.jp/article/jpts/24/9/24_901/_pdf,South korea,seoul,seoul,4.5,4.5,Time 50 OK,4.5,1,21,,41.3,25th Percentile,,378,>1year,1.035616438,0,,25.14,,,,,,,,,,,,,,,,,,,,,0,fim,,,,other,lohse,0,0,10,101.5,13.64,,10,103.3,4.32,,,10,,,0.5,1.8,10.11711421,,13.64,0.177916347,,0.914285714,0.162666374,Term G OK,All OK,,0.101582711,,0.084914854,11.77650261,,,
25,10,bolognini2011,bolognini,2011,exp,21,tDCS + CIMT,http://www.ncbi.nlm.nih.gov/pubmed/21803933,Italy,milan,milan,184,112,Time 50 OK,40,1,14,42,42.57,25th Percentile,,1332,>1year,3.649315068,1,,29.42,,,,,,17.86,,,,,,,,,,,,6.8,,,0,jebsen taylor hand function,ue,,,other,lohse,1,0,7,100.65,103.005,,7,67.97,93.37,,,7,72.16,91.15,0.5,-32.68,98.30561257,-28.49,97.25829663,0.332432698,0.292931308,0.869565217,0.289071911,Term G OK,All OK,0.254722876,0.150750821,0.148986339,0.113989279,8.772754848,0.112655077,,reverse the sign for a time based DV; means and SDs estimated from figure 2
181,54,han2013,han,2013,exp,117,CPT at additional increased intensity,http://www.ncbi.nlm.nih.gov/pubmed/22801472,China,shandong,shandong,90,90,Time 50 OK,90,1,42,84,44.6,25th Percentile,,38.3,<90days,0.104931507,1,,,,,,,,50.5,,,,,,,,,,<3,,,,,1,fma-ue,ue,fma,,fma,lohse,0,0,10,6.5,3.06,,10,12.4,5.5,,,10,24.5,7.96,0.5,5.9,4.45048312,18,6.03014096,1.32569877,2.985004848,0.914285714,1.212067447,Term G OK,All OK,2.72914729,0.187873862,0.545512697,0.157047212,6.367511956,0.456004083,,
44,18,chan2009,chan,2009,ctrl,38,bilateral OT without FES,http://www.ncbi.nlm.nih.gov/pubmed/19074684,China,hong kong,hong kong,20,20,Time 50 OK,20,,,,45,25th Percentile,,363,<1year,0.994520548,0,,27.4,,,,,,,,,,,15,,,,,,,,,,0,functiol test of the hemiparetic UE,ue,,,other,lohse,1,1,10,2.8,0.6,,10,3.1,0.6,,,,,,0.5,0.3,0.6,,0.6,0.5,,0.914285714,0.457142857,Term G OK,All OK,,0.1125,,0.094040816,10.63368059,,,
45,18,chan2009,chan,2009,exp,39,bilateral OT with FES,http://www.ncbi.nlm.nih.gov/pubmed/19074684,China,hong kong,hong kong,20,20,Time 50 OK,20,,,,46,25th Percentile,,543,>1year,1.487671233,0,,27.3,,,,,,,,,,,15,,,,,,,,,,0,functiol test of the hemiparetic UE,ue,,,other,lohse,1,1,10,2.4,0.8,,10,3.7,0.5,,,,,,0.5,1.3,0.667083203,,0.8,1.948782391,,0.914285714,1.781743901,Term G OK,All OK,,0.28988764,,0.242322403,4.12673359,,,
